business_id,service,drink,time,price,food
Milestones Restaurants (3625 Shaganappi Trail Nw),3.052631579,2,2.90625,2.583333333,2.532258065
Mariners (5339 Lighthouse Bay Dr),3.632352941,2.928571429,3.404761905,2.8,3.4875
"Boucher Double (5555 Boulevard des Laurentides, Suite 5)",2.1,0,2,0,1.25
"Ruth's Chris Steak House (Harrah's Las Vegas Hotel & Casino, 3475 Las Vegas Boulevard South)",3.936734694,4.094827586,3.619863014,2.686440678,4.150900901
Gus (38 Rue Beaubien E),4.847826087,4.166666667,4.894736842,3.5,4.828125
"Backwood Smokehouse (50 Clinton Street, Suite C)",2.277777778,2.125,3.666666667,2.375,2.857142857
Buccis (7230 Engle Rd),4,3.5,1.5,3.25,3.25
Chop Chandler (2625 W Queen Creek Rd),3.352777778,3.346153846,3.449152542,2.309859155,3.368686869
Carver's Steakhouse (2620 32 Avenue NE),4.166666667,4,2.75,3.583333333,4.142857143
The Bank Restaurant (125 8th Avenue SW),1.5,1,3,1.5,1.5
LongHorn Steakhouse (410 W Waterfront Dr),2.885714286,2.3,2.485714286,3.038461538,2.966666667
The Keg Steakhouse & Bar (18195 Yonge Street),4.454545455,2.333333333,4.166666667,1,4.181818182
"Neros (Caesars Palace, 3570 Las Vegas Blvd S)",3.209677419,2.769230769,3.789473684,2.933333333,3.148148148
Wagon Yard (2625 E Bell Rd),3.161290323,2.857142857,3.810810811,3.444444444,2.8515625
Sakura Japanese Steakhouse + Sushi (850 Patriot Pkwy),3.3,3.3,3.428571429,3.454545455,3.807692308
Tiffany's (7977 Boulevard Décarie),3.411764706,3.25,2.642857143,2.571428571,3.675
Off The Strip at the LINQ (3545 Las Vegas Blvd S),3.794314381,3.690647482,3.405737705,3.119047619,3.64171123
Outback Steakhouse (4180 N Drinkwater Blvd),2.666666667,5,3,4.5,2.5
Applebee's Grill + Bar (7159 Macedonia Commons Blvd),2,2.666666667,2.5,2,2.388888889
Bobby's Restaurant and Lounge (7122 E Greenway Pkwy),3.137362637,3.573529412,3.490909091,2.370967742,3.19379845
Jacobs & Co. Steakhouse (12 Brant Street),4.646428571,4.590909091,4.513422819,3.744680851,4.4
Ric's Lounge & Grill (2875 Sunridge Way NE),2.722222222,1.928571429,2.166666667,2.25,2.264705882
MB Steak (4455 Paradise Rd),4.38,4.666666667,3.543478261,3.666666667,4.336956522
"Mancuso's Restaurant (201 E Washington St, Ste 201)",4.064516129,3.552631579,3.321428571,2.821428571,4.263157895
The Keg Steakhouse + Bar (23 S McClintock Dr),4.306010929,4.183823529,3.708695652,3.222222222,3.905555556
Lone Star Texas Grill (2520 Hyde Park Gate),2.638888889,2,2.65,2.125,1.925
Costa Del Sol At Sunset Station (1301 W Sunset Road),4.375,0,5,4.75,4.833333333
Speakeasy Saloon and Grill (7450 W Chandler Blvd),2.571428571,2.230769231,2.05,1.5,2.785714286
Logan's Roadhouse (102 Bass Pro Dr),2.558823529,1.642857143,2.461538462,3.125,2.789473684
Rouge Boeuf (66 Route 132),2.333333333,0,2.5,2.5,2.75
Straight From Philly (237 N Stephanie St),4.051724138,3.863636364,4.027777778,3.694444444,3.56
Musashi Japanese Steakhouse (3900 Paradise Rd),3.479057592,3.775362319,3.844827586,3.780991736,4.352459016
Claim Jumper Restaurant & Saloon (1100 S Fort Apache Rd),2.812834225,2.5234375,2.858333333,2.965517241,2.565217391
"Onion Steak and Seafood (668 Silver Star Boulevard, Unit 203)",4.1,0,3,3.5,3.416666667
Texas Roadhouse (16079 N Arrowhead Fountains Center Dr),3.814285714,3.558823529,3.562015504,3.673913043,3.793296089
Grinder (1708 Rue Notre-Dame O),3.634146341,3.375,3.648148148,3.7,3.843137255
Joe Mamas (317 King St W),2.5,3.267857143,3.047619048,2.928571429,2.6625
Chenoy's Delicatessen (355 Boulevard Curé-Labelle),2.5,0,4,2.25,2.5
Montana's BBQ & Bar (5622 Signal Hill Ctr Sw),2.5,1.5,2.892857143,2.5,3.020833333
Magal BBQ (4240 Spring Mountain Rd),4.549833887,4.05,4.469325153,3.844594595,4.554817276
Ron's Steakhouse (740 S Decatur Blvd),3.473214286,3.909090909,3.673076923,3.793103448,4.336734694
Montana's BBQ & Bar (41 Milner Ave),2.138888889,3.166666667,2.295454545,1.75,2.564102564
"Michael Arthurs Pub (8129 Ardrey Kell Rd, Ste 105)",5,5,0,4.5,5
Logan's Roadhouse (2840 E Franklin Blvd),3.458333333,3.25,3.541666667,3.666666667,3.42
Monterra at WestWorld (16601 North Pima Rd),0,0,4,5,2.375
Haze Lounge (4230 Sherwoodtowne Boulevard),2.944444444,3.5625,3.208333333,3,3.736842105
Chop Steakhouse & Bar (33 Hopewell Way NE),4,3.4,4.45,3.375,3.772727273
Kelseys Original Roadhouse (2870 Queen Street E),3.333333333,0,3.375,2.5,2.909090909
"TBG's Balkan Steakhouse (3175 Rutherford Road, Unit 17, Building E)",2,0,3.5,3.5,2.5
The Rock (1446 17 Avenue SW),5,5,4.722222222,3.8125,4.461538462
XO Seafood & Oysters (29425 Chagrin Blvd),4.107142857,3.6,3.9375,2.615384615,3.529411765
Palmieri's Restaurants (951 Old Frankstown Rd),4.333333333,4.333333333,4,3.583333333,4.142857143
Quaker Steak & Lube (4094 Pearl Rd),3.730769231,2,2.708333333,1.833333333,2.916666667
"Ballers' Bistro (600 Matheson Boulevard W, Unit 4)",2,2.25,2.769230769,1.857142857,2.525
Hendriks Restaurant & Bar (218 Yonge Street),3.833333333,4,4,2.555555556,3.827586207
Outback Steakhouse (1080 N 54th St),3.663636364,3.016129032,3.28,2.090909091,3.368055556
Applebee's Grill + Bar (9174 Mentor Ave),3.8,4.75,2.4,3,2.285714286
Applebee's Grill + Bar (2070 N Rainbow Blvd),2.206896552,2.5875,2.343137255,1.928571429,2.970588235
OMO Teppan and Kitchen (5222 Macleod Trail SW),3.625,3,3.416666667,3.5,4.366666667
Quaker Steak & Lube (115 Federal St),2.833333333,0,0,3.333333333,3.75
Cafe 28 (10 E Wilmot St),0,2.5,2.666666667,2.4,3.333333333
Red Rocks Cafe-Huntersville (8712 Lindholm Dr),4.241176471,4.396551724,3.543859649,2.537037037,3.363636364
Toro Wine bar (1588 Dundas Street W),3.25,0,5,3.5,4.357142857
Ken Stewart's Lodge (1911 N Cleveland Massillon Rd),3.171428571,3.588235294,3.045454545,2.340909091,3.534090909
Rawhide At Wild Horse Pass (5700 W N Loop Rd),2.913043478,3,2.871794872,2.551724138,3.671052632
"Baba (5 Complexe Desjardins, 150 Rue Sainte-Catherine O)",4.166666667,4,4.5,3.833333333,3.95
Strip House (3667 Las Vegas Blvd S),4.247634069,3.279761905,4.283707865,3.057471264,3.900343643
La Carcasse (277 Rue Saint-Pierre),4,0,0,3.5,0
Gamekeeper's Taverne (87 West St),3.524390244,3.375,2.846153846,2.25,3.590909091
Sparks Premium Grill + Bar (2620 Rutherford Road),3.423076923,3.7,2.375,2.818181818,3.636363636
Hibachi Japanese Steakhouse (775 Alpha Dr),1.730769231,1.1875,3.266666667,2.214285714,1.984375
Urban Farmer (1325 E 6th St),3.782608696,3.806666667,3.824,2.847058824,3.85021097
Dominick's Steakhouse (15169 N Scottsdale Rd),4.271428571,4.166666667,3.626984127,3.235714286,4.272727273
Le Grill Barroso (3060 boulevard Saint-Joseph),2.25,0,0,0,0
Steak (76 W Horizon Ridge Pkwy),3.5,4.666666667,4.5,3.25,2.875
The Steakhouse at Treasures (2801 Westwood Dr),5,5,0,5,4
Fleming's Prime Steakhouse & Wine Bar - Las Vegas (6515 S Las Vegas Blvd),4.388372093,4.257575758,4.125,3.058823529,4.242290749
Topiary's Steak & Seafood (3215 Derry Road E),4.230769231,5,4.5,3.5,4.1
Rio Sabor Brazilian Steakhouse (10425 N Scottsdale Rd),3.5,0,3,0,4.625
THE Steak House (2880 S Las Vegas Blvd),4.114114114,3.534482759,4.226804124,3.455479452,4.265182186
Steak Escape West Towne Mall (118 W Towne Mall),4.75,0,0,0,4
Fleming's Prime Steakhouse & Wine Bar- Akron (4000 Medina Rd),4.241071429,3.875,4.5,3,4.406779661
Rustler's Rooste (8383 S 48th St),2.446774194,2.746428571,3.5,2.404929577,2.607526882
Queue de Cheval (1181 Rue de la Montagne),3.388888889,2.30952381,3.354545455,2.113636364,3.212121212
BLT Steak (110 N College St),4.0375,4.363636364,3.909090909,2.961538462,3.256410256
Dunn's Famous (3360 Boulevard Des Sources),2.25,2,0,2,2.1
"Americana (2620 Regatta Dr, Ste 118)",4.50678733,3.9,4.318584071,3.872727273,4.515503876
Hawthorn Grill (221 N Rampart Blvd),3.481481481,3.571428571,3.758064516,3.538461538,3.780701754
Madisons (1190 Rue Volta),3,0,0,1.5,3
Scarpetta (1003 9th Avenue SE),4.06,2.888888889,3.421052632,4,3.816666667
Black Angus Steakhouse (6902 E Hampton Ave),2.96875,3.117647059,2.538461538,2.366666667,3.046296296
Country Club (3131 Las Vegas Blvd S),4.346666667,3.3875,3.596385542,3.478723404,3.78313253
The Place Steakhouse (6308 Bowness Road NW),4.4,0,3.166666667,3,4.333333333
Jargo (8 Sherbrooke Ouest),2.5,0,0,0,2.666666667
The Hilltop (4173 County Rd P),2.5,3.583333333,3.5,3.5,3.730769231
"BLT Steak, Scottsdale (5402 E Lincoln Dr)",3.698113208,4.527027027,3.673611111,3.161290323,4.086021505
Fyfe's Corner Bistro (1344 E Washington Ave),3.5,3.5,4.5,0,5
Texas Land & Cattle (7779 Lyles Ln),3.233333333,2.677419355,2.95,2.75,2.451388889
DeSimone's Steakhouse (1500 Railroad Pass Casino Rd),4.5,3.5625,3.5625,3.722222222,3.703125
"Moxie's Grill & Bar (30 Colossus Dr, Unit B)",3.692307692,3.825,4.075,3.071428571,3.375
JOEY Barlow (3026 23rd Street NE),4.172413793,3.733333333,3.454545455,2.875,3.871428571
Rumfish Grille (1155 Washington Pike),2.47826087,2.704918033,2.457142857,2.166666667,2.75
"Red Ginger (401 S Tryon St, Ste 130)",2.761904762,3.366666667,2.985074627,3.116666667,3.556451613
Montana's BBQ & Bar (2910 Steeles Avenue E),2.369565217,2.3125,1.636363636,2.5,2.34
Train 344 (283 Chemin de la Grande-Côte),5,0,5,0,4.75
Jean Georges Steakhouse (3730 Las Vegas Blvd S),3.734110169,3.785046729,3.852422907,2.642857143,3.596296296
Citizens Kitchen and Bar (3950 Las Vegas Blvd S),3.117241379,3.516129032,3.120253165,2.583333333,2.686842105
Applebee's Grill + Bar (2032 E Baseline Rd),2.294117647,2.480769231,2.06097561,3.181818182,2.31147541
Mc Govern's Club and Restaurant (820 W Main St),2.9,2.666666667,3.388888889,2.875,2.916666667
Prime Rib Steakhouse (740 W Superior Ave),3.833333333,2,3.642857143,3.5,3.461538462
"Homestead Steaks (7914 W Dodge Rd, Ste 251)",0,0,0,0,1
Zero 8 (1735 St-Denis),3.6875,3.666666667,3.5,3.5,3.75
Pompette (4128 Boulevard Saint-Laurent),4.6,4.5,5,5,4.333333333
Zoes Kitchen (14601 Scottsdale Road),2.641025641,4.1,2.817073171,3.676470588,3.545977011
Lodge Wood Fired Grill (10175 Weddington Rd NW),2.5,0,1.5,3,2.25
"Applebee's Grill + Bar (4801 McKnight Rd, North Hills Village Mall)",1.722222222,1.4,1.714285714,2.3,2.425
Vegas CheeseSteaks (),0,5,2.666666667,0,3.2
Texas Roadhouse (511 Clairton Blvd),3.95,3.8,3.625,0,3.944444444
Caesar's Steak House (512 4 Avenue SW),3.91025641,2.409090909,3.789473684,2.583333333,3.75
Bally's Steakhouse (3645 Las Vegas Blvd S),3.712121212,3.733333333,3.25,3.066666667,3.222222222
"Applebee's Grill + Bar (1421 Town Ctr Blvd, Ste B-10)",3.142857143,2,2.785714286,0,2.363636364
"Red, the Steakhouse (3355 Richmond Rd)",4.074324324,3.789473684,4.019230769,3.282608696,4.030487805
Applebee's Grill + Bar (3401 Steelyard Dr),2,1.625,1.833333333,1.833333333,2.441176471
"Jakes Bistro + Bar (1380 Major Mackenzie Drive E, Unit G-1)",4.3125,3.333333333,4.071428571,3.916666667,3.8
"Louisiana Seafood and Steakhouse (1 Steeles Ave E, Unit 16)",1.9375,2.5,2.619047619,2.142857143,2.180555556
Wasabi Japanese Steakhouse (4181 Rockside Rd),4.095238095,3.25,3.594339623,3.166666667,4.016666667
Fleming's Prime Steakhouse & Wine Bar- Chandler (905 N 54th St),4.104938272,2.895833333,3.138392857,2.60483871,3.87254902
"Kanji Steak and Sushi (6125 S Fort Apache Rd, Ste 200)",4.485714286,4.65625,4.403225806,4,4.636363636
Gallery Restaurant (10000 Ballantyne Commons Pkwy),3.826086957,3.045454545,3.458333333,3.136363636,3.8
Ballantine (4113 Erie St),2.829268293,3,3.540540541,2.590909091,3.11
"Pita Palms (15605 W Roosevelt St, Ste 106)",4.574074074,3.3125,4.204545455,4,4.339449541
Oliver's Ale House (6155 Tomken Road),4.714285714,5,0,4.5,3.529411765
Binion's Cafe (128 Fremont St),2.711340206,2.537037037,3.49137931,2.990384615,2.731818182
Bobby Q - Biltmore (3154 E Camelback Rd),4.578947368,4.272727273,4.383928571,3.409090909,4.757425743
McCormick & Schmick's Seafood & Steaks (301 5th Ave),2.669354839,3.313953488,2.62962963,2.780487805,3.23125
Madisons NY Bar& Grill (7265 Bd des Galeries d'Anjou),3.6,2,0,0,3
Lone Star Texas Grill (212 King St W),4,2.5,3.5,2.25,3.954545455
Sammy's Famous Corned Beef (420 Smithfield St),2,0,1.75,0,2.25
Mickey & Mooch (9723 Sam Furr Rd),3.660714286,3.409090909,2.884615385,2.482142857,3.525641026
D'vine Diner (7746 Elbow Drive SW),3.2,2,2.666666667,2,3.8125
Hoss's Steak & Seahouse (1011 Beaver Grade Rd),4,0,0,0,4
"Onion Steak Sub (3390 Novat St, Ste 120)",3.7,5,4.166666667,3.875,3.857142857
Texas Roadhouse (1863 Remount Rd),4.063829787,3.25,3.648148148,3.75,3.845238095
Zach's Place (425 W Bagley Rd),3,4,2.5,5,3.833333333
The Keg Steakhouse + Bar (3065 W Chandler Blvd),4.304347826,3.947761194,4.254464286,3.317307692,4.185082873
Chuck's Roadhouse (283 Kingston Road E),3.8,3.25,3,3.166666667,3.954545455
Ocean Prime (5455 E High St),4.18,3.99,3.97972973,2.972222222,4.285714286
Texas Roadhouse (3466 William Penn Hwy),2.3,2.75,3.777777778,2.666666667,3.65625
Restaurant la Bohème (251 Rue Principale),3.5,0,5,3.5,4.75
The Lot at Edgewater (145 Allegheny Ave),3.676470588,2.777777778,3.214285714,3.055555556,4.145833333
35 Steaks + Martinis (4455 Paradise Rd),3.551401869,3.65,3.833333333,3.03125,3.81
17 Steakhouse and Bar (5165 Dixie Road),4.282608696,2.5,4.066666667,3.333333333,4.362068966
Mortys Steakhouse Restaurant (5395 Queen Mary),2.125,0,3,1,2.333333333
Reuben's (888 Rue Sainte-Catherine O),3.404255319,3.681818182,4.214285714,2.933333333,3.638888889
Montana's BBQ & Bar (65 Skyway Ave),2.333333333,3.083333333,1.833333333,1.75,2.083333333
The Shore Club - Toronto (155 Wellington Street W),4.129213483,4.125,4.139534884,2.861111111,3.942307692
The Angry Butcher (5111 Boulder Hwy),3.843283582,3.3,3.034482759,3.25,3.438461538
"Pampas Churrascaria Brazilian Grille (3663 S Las Vegas Blvd, Ste 610)",2.609744991,3.223214286,2.521978022,2.300429185,3.409351928
Bâton Rouge (4890 Boulevard Taschereau),2.8,5,0,0,1.75
"Krave Pizza & Bar (705 Main Street, Suite 100)",5,0,0,0,4.75
Dressler's Restaurant - Birkdale Village (8630 1-A Lindholm Dr),4.407142857,4.307692308,4.138297872,3.1875,4.448051948
Butch's Saloon (10009 W 130th St),0,0,1.166666667,4.5,3
The Charcoal Room (4949 N Rancho Dr),3.663636364,3.681818182,3.74137931,3.421052632,4.035714286
Austins Steakhouse (2101 Texas Star Ln),4.246268657,4.384615385,4.122222222,3.184210526,3.652173913
Sunset Station (1301 W Sunset Rd),3.229007634,3.601694915,3.065789474,3.209302326,3.816993464
Hot Stove Club (40 Bay Street),4.5,4,4,4.5,4.5
"The Garden Grill (Circus Circus Las Vegas, 2800 Las Vegas Blvd S)",3.416666667,3.192307692,3.1875,2.625,3
Applebee's Neighborhood Grill & Bar (8730 W Charleston Blvd),2.322222222,2.770833333,2.965517241,2.416666667,2.788461538
Whistlers Kitchen & Bar Wood-Fired (36816 Detroit Rd),4.208333333,4.5,3.916666667,3.722222222,4.45
Don's Pomeroy House (13664 Pearl Rd),4.2578125,3.625,4.178571429,3.291666667,4.019230769
"Geisha House Steak & Sushi (6572 N Decatur Blvd, Ste 150)",3.818181818,3.271929825,3.578947368,3.06557377,3.727272727
The Capital Grille (201 N Tryon St),4.454761905,4.528301887,4.394927536,3.221153846,4.434895833
Tempest Oyster Bar (120 E Wilson St),4.26344086,4.173913043,3.884615385,3.42,3.981481481
Cartwright's Modern Cuisine (6710 E Cave Creek Rd),3.973684211,3.466666667,3.423728814,2.397727273,3.925742574
Local Jerk (8 Avenue Duluth E),4.5,3.166666667,3.75,3.25,4.352941176
"Il Chianti Italian Steak & Seafood (72 W Horizon Ridge Pkwy, Ste 100)",4.755813953,3.857142857,4.5125,3.666666667,4.754545455
Hikari (4175 S Buffalo Dr),3.768096515,3.514705882,3.460992908,3.595041322,3.763313609
Crossroads Restaurant & Bar - Las Vegas (3950 Las Vegas Blvd),3.677777778,3.368421053,3.290322581,2.5,3.147887324
Smith & Wollensky (3767 Las Vegas Blvd S),3.563596491,3.8125,3.478723404,3.006493506,4.044117647
LongHorn Steakhouse (4171 Rockside Rd),3.136363636,3.083333333,3.657894737,1.625,3.462962963
"Le Montréal (Casino de Montréal - Level 5, Pavillon la France - 1 Avenue du Casino)",3,2,3,1.833333333,2
Bill Johnson's Big Apple Restaurants (3101 W Indian School Rd),2.428571429,2.5,2.625,2,3.291666667
Day & Night Angus Steak Raw Bar (548 Carlton Road),3,3.909090909,2.946428571,2.875,3.058139535
Applebee's Grill + Bar (1201 N Dunlap Ave),2.277777778,1.571428571,2.192307692,1.75,2.394736842
The Portuguese Chicken Guys (898 College Street),4.25,5,3.25,3.75,4.083333333
The Keg Steakhouse + Bar - Bloor West Mall (291 The West Mall),3.607142857,4.4,3.833333333,2.166666667,3.615384615
Peter's Fine Dining Steak and Seafood (5701 Hwy 7),4.6625,4.318181818,4.571428571,4.02173913,4.5
Steakhouse at Bill's (3595 Las Vegas Blvd S),2.1,0,2.75,2.4375,2.821428571
Prime Quarter Steak House (3520 E Washington Ave),3,2.9375,4.071428571,4.1,2.95
Texas Roadhouse (245 Market Dr),3.066666667,3.375,3.6,2.375,3.555555556
Black Forest Steak House & Tavern (2624 Eglinton Avenue E),4.2,0,4.833333333,4.1,4.375
Outback Steakhouse (110 Montrose West Ave),3.4,1.75,1.875,5,3.08
"Omaha Steaks (9831 Rea Rd., Suite F)",2.5,0,1,3.5,0
The Keg Steakhouse + Bar - Pointe-Claire (6815 Autoroute Transcanadienne F017),3.789473684,3.545454545,3.916666667,3.3,3.7
Magnan (2602 Rue Saint-Patrick),3.5,0,3.928571429,3.5,3.833333333
"Hand Cut Burgers & Chophouse (7135 E Camelback Rd, Ste 154)",4.223021583,4.034722222,3.413265306,3.39,3.993865031
Texas Roadhouse (2600 W Happy Valley Rd),3.391566265,3.8,3.224137931,3.525,3.556179775
Sahan Restaurant (2010 Lawrence Avenue E),4.294117647,5,4.85,4.5,4.464285714
The Octagon Restaurant (7529 Yonge Street),3.90625,3,3.277777778,2.617647059,3.754901961
Terrace On the Green (8672 Mississauga Road),3.5,3.5,2,2.75,3.2
Texas Roadhouse (10450 E. Independence Blvd.),4.007352941,3.340909091,3.827586207,3.71875,3.649425287
Texas de Brazil (6533 Las Vegas Blvd S),4.448138298,4.328125,4.30669145,3.752525253,4.493455497
Steaks R US (3655 E Southern Ave),0,0,0,2.666666667,3.166666667
Black Angus Steakhouse (3250 Bloor Street W),3.666666667,2,1.25,2.333333333,3.5
Applebee's Grill + Bar (1050 Village Ctr Dr),3.2,2.214285714,3.5,2.166666667,2.5625
Gordon Ramsay Steak (3655 Las Vegas Blvd S),4.230340212,4.106446777,4.068544996,2.929338104,4.080802603
ParkerHouse Grill & Wine Bar (131 6th Avenue SW),3.863636364,3,3.4,3.166666667,3.909090909
Black Angus Steakhouse (2770 W Chandler Blvd),3.236486486,3.28,3.265151515,2.730769231,3.129032258
"Restaurant Houston Steaks et Cotes Levees (Aeroport Trudeau Montreal, US Departures Side)",1.907894737,2.15,2.314814815,1.666666667,2.3125
Hole-in-the-Wall (7677 North 16th St),2.7625,3.5,2.22,2.28125,2.759259259
The Keg Steakhouse + Bar - Mansion (515 Jarvis Street),4.421212121,4.205357143,4.12254902,3.559322034,4.150943396
Max Sports Grille (7134 E Thomas Rd),2.344827586,3.045454545,2.166666667,2.307692308,3.239130435
Yard House (7014 East Camelback Rd),3.768292683,3.425438596,3.975,3.064285714,3.561514196
Hugo's Cellar (202 Fremont St),4.497017893,4.337121212,4.346153846,3.568062827,4.397
Montana's BBQ & Bar (8735 Yonge St),3.137931034,2.583333333,2.676470588,2.9,3.238095238
Cattlebaron Alberta Steak House and Bar (33 Sun Valley Boulevard SE),3.74137931,5,3.880952381,3.142857143,3.9375
Barbie's (7850 Boulevard Taschereau),3,0,2.875,3.75,2.888888889
Firebirds Wood Fired Grill (3435 W Chandler Blvd),4.289667897,4.096153846,4.134078212,3.335443038,4.204152249
Restaurant Yotis (7255 Chemin de Chambly),2.75,0,4.5,0,2
"Del Frisco's Double Eagle Steakhouse (4725 Piedmont Row Dr, Ste 170)",4.289340102,3.730769231,3.785087719,2.959677419,4.157738095
MRKT (7301 Aliante Pkwy),3.760204082,3.279069767,3.811320755,3.013157895,3.798076923
Strip (36840 Detroit Rd),4.219178082,4.263157895,4.347457627,3.288461538,3.801980198
Omaha Steak House (4800 S Tryon St),3.1,2.166666667,3,1.75,3.235294118
Applebee's Grill + Bar (820 E Warm Springs Rd),2.175,2,2.511904762,2.5625,2.737704918
Captains Galley Seafood Shack (290 Copperfeild Blvd),3,2.833333333,1.75,3.333333333,2.727272727
"FIX (Bellagio Las Vegas, 3600 S Las Vegas Blvd)",3.331632653,3.940828402,3.778481013,2.712686567,3.217983651
Ric's Grill (1436 8th St SW),3.055555556,0,2.6,1.5,3.5
Girves Brown Derby (18332 Bagley Rd),2.35,2.388888889,2.761904762,2.384615385,2.615384615
Applebee's Grill + Bar (699 N Stephanie St),2.885542169,2.893617021,2.462686567,2.710526316,3.07826087
"Rich II Fine Cuisine (4350 Steeles Avenue E, Unit A1)",2.375,1,4.5,1.666666667,1.833333333
Primo Prime (116 Middleton Dr),4.6,4,5,4,4.642857143
The Keg Steakhouse + Bar - Esplanade (26 The Esplanade),4.371212121,4.333333333,4.197674419,3.714285714,4.220338983
Lone Star Texas Grill (157 York Blvd),3.5,5,3,2.5,3.25
Handlebar J (7116 E Becker Ln),3.473684211,3.201923077,3.696428571,2.684210526,3.905555556
Charya's (2973 S Park Rd),4.166666667,2.5,4,3.5,3.944444444
The Ribeye (1701 S Neil St),3.555555556,2.642857143,3.029411765,2.294117647,2.865384615
Firebirds Wood Fired Grill (6801 Northlake Mall Dr),3.57,4.051282051,3.637096774,3.0625,3.966981132
Delmonico Steakhouse (3355 Las Vegas Blvd S),4.40290758,4.075675676,4.373747495,3.185714286,4.201398601
Elliott's BBQ and Steakhouse (611 Old Clairton Rd),3.625,3.25,3.888888889,4,3.375
"Top Gun Steak & Burgers (1960 Lawrence Avenue E, Unit 3)",2.5,3,2.416666667,3.0625,2.9
Steak ’n Shake (4000 Medina Rd),3.5,2.5,2.625,2.714285714,3.375
Lone Star Steakhouse (1743 E. Camelback Road),3.214285714,4.117647059,3.958333333,3.25,3.122222222
LongHorn Steakhouse (10605 Centrum Pkwy),3.87804878,3.676470588,3.481481481,3,3.69047619
